"","X","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Average","WC.Average","Tail","Strategy","CVBillPC1","CVBillPC2","CVBodyPC1","CVBodyPC2"
"Tyrannus_crassirostris_pompalis",11,0.0487270395421895,0.0696934173322381,0.043354684926556,0.0336614160302896,0.075780181378067,0.0248556040124591,0.0337841859569876,"migratory",-24.2916337997973,8.66779561228078,134.511149320093,80.7500916791876
"Tyrannus_cubensis",12,0.0265806999470024,0.0341976946137193,0.0398963765625038,0.037946142229635,0.0878179430314992,0.0226631026864101,0.0499780532330714,"sedentary",-30.193179253807,9.11957104343799,133.232294229608,81.4380546620444
"Tyrannus_dominicensis_dominicensis",13,0.0484626147531251,0.0452734328740351,0.0601626381537296,0.0282435383747994,0.0780981455600219,0.034243786021738,0.0370677924176475,"migratory",-23.5672038345915,6.60689776796238,119.54346867572,69.0622760582366
"Tyrannus_dominicensis_vorax",14,0.0439893777890213,0.0487807108066251,0.0568484629963651,0.0398988021671508,0.0597241282931478,0.0286100265574522,0.0292548681226352,"sedentary",-26.4665916422798,6.96906670908339,124.344189742195,70.0429290152718
"Tyrannus_forficatus",15,0.0491069810286961,0.0504965608313029,0.0471897237105117,0.0429105605814643,0.108661510705064,0.0413924357516407,0.162638956259424,"migratory",-15.5541673695073,4.91364801250595,175.325093878932,52.3179970533283
"Tyrannus_melancholicus_despotes",16,0.0647320755538798,0.0658078209248123,0.079579311500259,0.0615371157727753,0.0208894357067638,0.0306829603166187,0.0256443934192927,"sedentary",-19.9844042295531,5.54446350895039,119.456119868515,63.2458928350706
"Tyrannus_melancholicus_melancholicus",17,0.0765190420437699,0.0620936177977537,0.0818492019333248,0.0459714679913118,0.0786365223948603,0.027049635370786,0.0383168140400005,"partial",-19.974559544863,5.71796062687387,123.858059725094,67.6352122718269
"Tyrannus_melancholicus_satrapa",18,0.059008095242418,0.0453569297367598,0.0516518159130256,0.0475617529144474,0.0719272601526035,0.0377157557048155,0.0435466472315806,"partial",-20.4568229510088,5.61051287705072,121.605259519769,67.2941812056747
"Tyrannus_niveigularis",19,0.0266019950226957,0.0405977336371702,0.0546151787220551,0.0476977345990172,0.0742911542699356,0.0340023802041091,0.0261684827187195,"partial",-17.2972864587173,4.86287944332062,107.686768332607,64.1475315025556
"Tyrannus_savana_circumdatus",20,0.0650648226349325,0.0590831468541293,0.0427118402899971,0.0249749450068394,0.0678213792651815,0.0191247117583617,0.0858269195154577,"sedentary",-13.2043680058145,3.80993773196297,206.574100626445,30.0795367945347
"Tyrannus_savana_monachus_CA",21,0.0412456140823599,0.0459776396836643,0.0519368982738153,0.0368492187675079,0.0772853967381207,0.0374144836382202,0.191808408764791,"sedentary",-13.1487060292653,4.09510033911169,199.464224685291,29.9927006678337
"Tyrannus_savana_monachus_SA",22,0.0681537817074471,0.070437907911443,0.0612435750282888,0.0328027237489934,0.076312745340146,0.0372998239235265,0.200584433841472,"sedentary",-13.2127763741351,4.12855007075397,217.585046465505,25.61664447966
"Tyrannus_savana_sanctaemartae",23,0.0361690598772,0.0370652205980597,0.0529679146045528,0.0478273478888724,0.0242944830927387,0.0150753768844221,NA,"sedentary",-13.7195141344474,4.17567766007798,221.401679676073,23.9263969014952
"Tyrannus_savana_savana",24,0.0577606944299802,0.0816317070892345,0.0733615828568963,0.0653932958234401,0.0601351046129131,0.164892954678024,0.17351058912787,"migratory",-12.9735044892857,4.22084237084227,212.341859100516,32.3911226515788
"Tyrannus_tyrannus",25,0.0612860067405155,0.0607699326329059,0.0582334020045314,0.042562773675477,0.0770802477239216,0.0382373529638083,0.0598073760141923,"migratory",-15.8424402782145,5.07051463683598,113.761678875288,70.7366982717403
"Tyrannus_verticalis",26,0.0696695325538555,0.0590885564430691,0.0657021700667554,0.0378024467695048,0.073673680262108,0.0364222377967792,0.0361195513940229,"migratory",-15.4986103830577,5.26832565710912,122.279647336393,74.7741552732726
"Tyrannus_vociferans_vociferans",27,0.0542718651015856,0.0486927477310097,0.0543559898066434,0.0379667240509787,0.0775016597649578,0.0344102808501069,0.0322964797189154,"partial",-17.7795457938851,5.52634745202347,127.484909850476,79.8086498525894
"Tyrannus_vociferans_xenopterus",28,0.0368976101967937,0.0236523358233658,0.0589067720621711,0.027460310074408,0.0842341242057287,0.0153745113852147,0.0249622486190382,"sedentary",-17.2075002789499,5.23340454753303,125.581600184555,75.8229339031889
