"","Row.names","beta","lambda","logL","resid","BL","BW","BD","KD","WC","TL","y","migration"
"11","Tyrannus_crassirostris_pompalis",1.35579510730605,0.970573022099817,-50.2101718047392,2.19196602998084,2.19196602998084,2.42107448157805,2.55900827647502,5.2996235021393,12.370900743578,-33.8215882257628,"migratory","migratory"
"12","Tyrannus_cubensis",1.35579510730605,0.970573022099817,-50.2101718047392,4.90786908746918,4.90786908746918,2.73153018871574,2.2511966576001,0.844974696193404,3.81503622042446,-30.8096977735027,"sedentary","sedentary"
"13","Tyrannus_dominicensis_dominicensis",-10.0353883598005,0.970573022099817,-50.2101718047392,5.28134599995823,5.28134599995823,2.51849297731598,1.95321793076422,1.15689343673625,2.95564511192525,-44.284187972282,"migratory","migratory"
"14","Tyrannus_dominicensis_vorax",1.35579510730605,0.970573022099817,-50.2101718047392,6.69652122913624,6.69652122913624,3.67181190063938,2.26332604206624,-0.739154444646189,2.31641033967686,-39.9121314685246,"sedentary","sedentary"
"15","Tyrannus_forficatus",1.35579510730605,0.970573022099817,-50.2101718047392,-2.19895048330664,-2.19895048330664,-1.06131177082,-0.624004016957557,12.8364770076021,9.85161059768738,70.2957173552404,"migratory","migratory"
"16","Tyrannus_melancholicus_despotes",1.35579510730605,0.970573022099817,-50.2101718047392,3.50290930297204,3.50290930297204,1.87821090702741,1.40396976887039,-0.877946008525676,3.50362296246834,-39.6780883413836,"sedentary","sedentary"
"17","Tyrannus_melancholicus_melancholicus",-10.0353883598005,0.970573022099817,-50.2101718047392,2.97703330897656,2.97703330897656,1.60072720787982,1.19312783801254,-1.48139999544507,4.95667408879891,-38.1175683920798,"partial","partial"
"18","Tyrannus_melancholicus_satrapa",-10.0353883598005,0.970573022099817,-50.2101718047392,1.68768025059745,1.68768025059745,1.14716980266259,0.340566008338353,-3.65307932907576,-0.227760941459991,-38.9333607120874,"partial","partial"
"19","Tyrannus_niveigularis",1.35579510730605,0.970573022099817,-50.2101718047392,0.178381015414921,0.178381015414921,0.461334578486783,-0.178700172105821,-6.79357746077393,-5.17157729554216,-53.2259371651487,"partial","partial"
"20","Tyrannus_savana_circumdatus",1.35579510730605,0.970573022099817,-50.2101718047392,-1.67304757771288,-1.67304757771288,-1.3999669811517,-0.79151426148471,1.74552159548772,-1.89113119055483,90.8168053394098,"sedentary","sedentary"
"21","Tyrannus_savana_monachus_CA",-10.0353883598005,0.970573022099817,-50.2101718047392,-2.28188855625167,-2.28188855625167,-1.09460907912849,-0.654274295212592,0.391596711058142,-3.69530247169166,107.425576095847,"sedentary","sedentary"
"22","Tyrannus_savana_monachus_SA",1.35579510730605,0.970573022099817,-50.2101718047392,-1.70207724122882,-1.70207724122882,-1.14985854771224,-0.415206318822111,1.38984929195745,-3.96122236848747,99.282715625353,"sedentary","sedentary"
"23","Tyrannus_savana_sanctaemartae",-10.0353883598005,0.970573022099817,-50.2101718047392,-1.62102601805533,-1.62102601805533,-1.55905592524126,-0.604256276662257,2.66725539749441,-2.39350826706641,102.974252179807,"sedentary","sedentary"
"24","Tyrannus_savana_savana",1.35579510730605,0.970573022099817,-50.2101718047392,-2.83843840346632,-2.83843840346632,-1.34239646357956,-0.764202221011248,4.33423145680319,1.36187434680942,85.0702804316852,"migratory","migratory"
"25","Tyrannus_tyrannus",1.35579510730605,0.970573022099817,-50.2101718047392,-1.48798014682258,-1.48798014682258,-0.351203337380534,-0.227696074294959,6.2508047040718,6.54151941975474,-50.7283723588164,"migratory","migratory"
"26","Tyrannus_verticalis",-10.0353883598005,0.970573022099817,-50.2101718047392,-2.84059467300988,-2.84059467300988,-1.19172388956294,-0.499397954560975,7.72823804379676,11.5158274677906,-41.7260085441683,"migratory","migratory"
"27","Tyrannus_vociferans_vociferans",1.35579510730605,0.970573022099817,-50.2101718047392,-1.63579681378617,-1.63579681378617,-0.558903903407046,-0.371153890477997,5.53869532421295,13.7547529019506,-39.8896729813989,"partial","partial"
