"","X","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy","CVBillPC1","CVBillPC2","CVBodyPC1","CVBodyPC2"
"Tyrannus_crassirostris_pompalis",11,NA,0.04167242888491,0.0712602429933817,0.0419405647484963,0.0344535027853368,0.068274860910673,0.0226762115070498,0.031934616603213,0.0535538085616036,"migratory",-22.7529015433229,3.33796982806074,-142.198845787319,41.7795439373784
"Tyrannus_cubensis",12,NA,0.0265806999470024,0.0341976946137193,0.0398963765625038,0.037946142229635,0.0878179430314992,0.0226631026864101,0.0499780532330714,0.0811542519621972,"sedentary",-27.5281587937951,2.3880889588224,-140.890981330582,37.7567666525249
"Tyrannus_dominicensis_dominicensis",13,0.078681103633346,0.046787738982083,0.0445196103407879,0.0527660571843267,0.0295591978420068,0.0774551531661113,0.0332257649021616,0.0394261368013225,0.0528307069223833,"migratory",-21.4410862301544,1.40428023356647,-123.376530713839,36.5408997418311
"Tyrannus_dominicensis_vorax",14,0.0649132103702776,0.0445326467532268,0.0474200095092429,0.0601389133289962,0.0342336985903114,0.059282563033242,0.0295855034825025,0.0309060046911241,0.0469182569964552,"sedentary",-23.9090201588826,1.17313284273378,-125.824302371173,35.9002097229128
"Tyrannus_forficatus",15,0.104653660217185,0.0527000692618277,0.045530419517049,0.0493204083791008,0.0334602367271064,0.0888655049045909,0.0327112813045429,0.129483195677344,0.0626235876748681,"migratory",-14.3522918038858,1.49829530947466,-137.200789484711,56.7339982479083
"Tyrannus_melancholicus_despotes",16,NA,0.0618957314820851,0.0608828361667439,0.0633026906484733,0.0611706294332174,0.0208551459380228,0.0298530220021482,0.0256443934192927,0.0367349597321226,"sedentary",-18.4909590750909,1.22331098188506,-116.578276173571,33.0439913155805
"Tyrannus_melancholicus_melancholicus",17,0.0970223590579501,0.0457502493327083,0.0416075205189755,0.0556865457157737,0.0473542859094274,0.0789827400092726,0.0249949055728863,0.0355147407371862,0.0685192289702332,"partial",-18.4683594660193,1.34015353511996,-123.607285223528,34.7250448873108
"Tyrannus_melancholicus_satrapa",18,0.14474760938512,0.0564609708551707,0.043056919542779,0.0518771637527179,0.0481777543575189,0.0738101122263083,0.03683312392707,0.0411840940180571,0.0506372507989207,"partial",-18.8050840546697,1.09756963222446,-121.798268787674,32.8438482559221
"Tyrannus_niveigularis",19,0.12556105931594,0.0290661765175812,0.0443834741383735,0.0598216831301322,0.0473126462694237,0.0822124042295624,0.0359796751132753,0.0261306509930014,0.0565917220859192,"partial",-15.9674594072043,1.10723419055318,-111.965728354623,28.0773282557226
"Tyrannus_savana_circumdatus",20,NA,0.0650648226349325,0.0590831468541293,0.0427118402899971,0.0249749450068394,0.0678213792651815,0.0191247117583617,0.0858269195154577,0.0612624361248565,"sedentary",-12.0230736526171,0.872040579299245,-123.236271554643,52.7907767892444
"Tyrannus_savana_monachus_CA",21,0.00799999999999997,0.0368366020969882,0.0383252456773791,0.0487816478268426,0.0383299088186888,0.0617219816108832,0.0270777805490033,0.123546717450171,0.040822539539581,"sedentary",-12.2808854411962,1.17764816696172,-122.186524343376,52.8796868676503
"Tyrannus_savana_monachus_SA",22,0.0628548188155144,0.058846778538561,0.0733073147774267,0.0616403283434921,0.0262361959780895,0.076312745340146,0.0368756918696446,0.132195968042608,0.0527678388919978,"sedentary",-12.1393357739508,1.16407291441807,-123.682392553936,54.8439014050151
"Tyrannus_savana_sanctaemartae",23,NA,0.0332174127478963,0.0184260724209455,0.0646359125941886,0.00602799034594449,0.0242944830927387,0.0150753768844221,NA,0.0393738021498816,"sedentary",-12.429292998235,1.01609362244993,-124.229588593982,57.3399316745157
"Tyrannus_savana_savana",24,0.131287571057879,0.0409159746614147,0.0725765567029599,0.0751567481550194,0.0685165992180227,0.058917917831537,0.0239392399843758,0.152366775921716,0.0465348240380879,"migratory",-12.1737381197949,1.31189264147626,-129.66414609436,56.7745854795256
"Tyrannus_tyrannus",25,0.148887449832784,0.0547163340001715,0.0566428968307723,0.0487488604260232,0.0417740361448429,0.0736334704550025,0.0339098770299914,0.0632238981897979,0.0605800682429601,"migratory",-14.9042513337911,1.59024406453548,-124.572547766999,38.9422246709566
"Tyrannus_verticalis",26,0.0936351445406845,0.0600317467645578,0.048882776367187,0.0396189974099652,0.0364596153574021,0.0645008311651053,0.0338838834308762,0.0340442371685269,0.0483462078089212,"migratory",-14.5168797575703,1.92403638495834,-131.976194950839,40.0597150849504
"Tyrannus_vociferans_vociferans",27,0.0696020560388491,0.0540913673367769,0.0470172652545827,0.0535093739846339,0.0388297400782674,0.070172205261771,0.0330351894960095,0.0327061624231056,0.0468607000669247,"partial",-16.3688096288392,1.57478020819326,-137.909749775158,39.6713119483159
"Tyrannus_vociferans_xenopterus",28,NA,0.0368976101967937,0.0236523358233658,0.0589067720621711,0.027460310074408,0.0842341242057287,0.0153745113852147,0.0249622486190382,0.0740417035221771,"sedentary",-15.859176398127,1.45769301220802,-131.660472062425,34.8320525162731
