"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"1146",1172,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","104826",NA,"Nacho","American Museum of tural History","1905",2,"1","Mexico","Tepic","","Ojo de Agua, near Amatlan de Canas","",20.80699,-104.404,19.3,11.4,10.4,21.3,39.7,132,87,"Adult","Male",30.0757575757576,"Tyrannus_crassirostris_pompalis"
"1148",1174,"Tyrannus_crassirostris","pompalis","migratory","taxonomy","104829",NA,"Nacho","American Museum of tural History","1905",3,"5","Mexico","Tepic","","Rio Ameca, near Amatlan de Canas","",20.80699,-104.404,18.7,11.2,10,21.75,33.5,124.5,94,"Adult","Male",26.9076305220884,"Tyrannus_crassirostris_pompalis"
"1151",1177,"Tyrannus_caudifasciatus","jamaicensis","sedentary","taxonomy","106132",NA,"MM","Smithsonian tiol Museum of tural History","1865",2,"","Jamaica","Saint Ann","","Moneague","",18.19824,-77.3556,21.315,9.835,7.645,22.035,22.955,100.77,83.29,"Adult","Male",22.7795971023122,"Tyrannus_caudifasciatus_jamaicensis"
"1160",1186,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","106312",47,"MM","Royal Ontario Museum","",NA,"","Puerto Rico","","Guanica County","2 mi W, 0.8 mi SE Enseda","",17.96934,-66.9336,19.61,10.095,8.28,19.145,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"1161",1187,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","107417",43.5,"MM","Royal Ontario Museum","1970",7,"7","Guyana","Upper Demerara-Berbice","","1 mi S Ituni","",5.518781,-58.25,17.95,10.005,7.81,17.81,NA,118.405,NA,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1162",1188,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","107418",NA,"MM","Royal Ontario Museum","1970",7,"7","Guyana","Upper Demerara-Berbice","","1 mi S Ituni","",5.518781,-58.25,16.805,8.655,7.15,17.495,NA,107.015,84.38,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1165",1191,"Tyrannus_caudifasciatus","bahamensis","sedentary","taxonomy","107727",NA,"MM","Smithsonian tiol Museum of tural History","1886",3,"19","Bahamas","New Providence","New Providence District","","",25.75,-77.8333,19.165,9.09,7.795,22.55,26.28,109,88.76,"Adult","Male",24.1100917431193,"Tyrannus_caudifasciatus_bahamensis"
"1170",1196,"Tyrannus_savana","savana","migratory","taxonomy","108431",NA,"MM","The Field Museum","1937",5,"25","Guyana","E Demerara-W Coast Berbice","","Buxton","",6.49,-58.13,10.715,6.835,5.58,16.885,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"1171",1197,"Tyrannus_savana","savana","migratory","taxonomy","108432",NA,"MM","The Field Museum","1937",5,"30","Guyana","E Demerara-W Coast Berbice","","Buxton","",6.49,-58.13,11.825,6.78,5.115,17.925,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"1172",1198,"Tyrannus_caudifasciatus","bahamensis","sedentary","taxonomy","108548",NA,"MM","Smithsonian tiol Museum of tural History","1886",4,"2","Bahamas","Abaco","Marsh Harbour District","","",25.75,-77.8333,19.78,9.825,7.7,22.5,NA,NA,NA,"Adult","Male",NA,"Tyrannus_caudifasciatus_bahamensis"
"1173",1199,"Tyrannus_caudifasciatus","bahamensis","sedentary","taxonomy","108550",NA,"MM","Smithsonian tiol Museum of tural History","1886",4,"5","Bahamas","Abaco","Marsh Harbour District","","",25.75,-77.8333,21.915,9.99,7.77,22.89,25.5,111.82,87.51,"Adult","Male",22.8045072437847,"Tyrannus_caudifasciatus_bahamensis"
"1175",1201,"Tyrannus_caudifasciatus","caymanensis","sedentary","taxonomy","109409",44,"MM","Royal Ontario Museum","1971",4,"6","","","","","",19.31403,-81.1888,21.58,9.33,7.295,22.57,20.965,103.045,86.43,"Adult","Male",20.3454801300403,"Tyrannus_caudifasciatus_caymanensis"
"1176",1202,"Tyrannus_verticalis","","migratory","taxonomy","109589",46.8,"MM","Royal Ontario Museum","1971",5,"12","Mexico","Oaxaca","","5 km SE Santiago Matatlan","",17.79741,-96.3269,13.875,8.105,6.94,20.35,41.23,126.445,88.88,"Adult","Male",32.6070623591285,"Tyrannus_verticalis"
"1185",1211,"Tyrannus_melancholicus","satrapa","partial","taxonomy","109935",NA,"MM","The Field Museum","1925",11,"14","El Salvador","Morazan","","Divisadero","244m",13.6,-88.05,17.28,9.1,6.915,18.82,26.165,108.825,90.89,"Adult","Male",24.0431886055594,"Tyrannus_melancholicus_satrapa"
"1187",1213,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","110633",46,"MM","Louisiana State University Museum of tural Sciences","1982",8,"9","Peru","Loreto","","Isla Ronsoco, Rio po opposite Libertad, 80 km N Iquitos","120m",-3,-73.33,19.245,10.21,7.98,18.815,32.49,116.14,NA,"Adult","Male",27.9748579300844,"Tyrannus_melancholicus_melancholicus"
"1188",1214,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","110634",39,"MM","Louisiana State University Museum of tural Sciences","1982",6,"7","Peru","Loreto","","1 km N Rio po, 157 km by river NNE Iquitos","110m",-3.258169,-72.921899,16.845,10.08,7.37,18.815,30.78,113.87,90.61,"Adult","Male",27.0308246245719,"Tyrannus_melancholicus_melancholicus"
"1189",1215,"Tyrannus_savana","savana","migratory","taxonomy","110638",NA,"MM","The Field Museum","1937",9,"3","Brazil","Mato Grosso do Sul","","Vaccaria, Fazenda Capao Bonita","",-28.5061,-50.9338,11.26,6.54,5.87,17.56,41.83,113.65,285.01,"Adult","Male",36.8059832820062,"Tyrannus_savana_savana"
"1190",1216,"Tyrannus_savana","savana","migratory","taxonomy","110639",NA,"MM","The Field Museum","1937",9,"3","Brazil","Mato Grosso do Sul","","Vaccaria, Fazenda Capao Bonita","",-28.5061,-50.9338,11.575,6.95,5.735,18.415,41.47,114.13,251.568,"Adult","Male",36.3357574695523,"Tyrannus_savana_savana"
"1191",1217,"Tyrannus_savana","savana","migratory","taxonomy","110640",NA,"MM","The Field Museum","1937",10,"11","Brazil","Mato Grosso do Sul","","Vaccaria, Fazenda Capao Bonita","",-28.5061,-50.9338,12.13,6.69,5.11,19.065,41.535,111.95,233.601,"Adult","Male",37.1013845466726,"Tyrannus_savana_savana"
"1194",1220,"Tyrannus_forficatus","","migratory","taxonomy","110659",29.4,"MM","Royal Ontario Museum","2006",4,"29","Cada","Ontario","Cochrane District, Calvert Township","Iroquois Falls, Concession 4, Lot 3","",48.75422,-80.7498,13.155,8.01,6.105,18.48,47.24,123.45,195.076,"Adult","Male",38.2665046577562,"Tyrannus_forficatus"
"1196",1222,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","111012",45,"MM","Royal Ontario Museum","1887",6,"9","Bahamas","North Andros Island","Central Andros","11 mi South at Fresh Creek","",24.70467,-77.7698,NA,NA,NA,18.63,37.34,117.06,NA,"Adult","Male",31.8981718776696,"Tyrannus_dominicensis_dominicensis"
"1198",1224,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","111100",45,"MM","Royal Ontario Museum","",NA,"","Bahamas","North Andros Island","","Fresh Creek","",24.70467,-77.7698,NA,NA,NA,19.01,37.35,117.91,NA,"Adult","Male",31.6767025697566,"Tyrannus_dominicensis_dominicensis"
"1199",1225,"Tyrannus_savana","monachus SA","sedentary","taxonomy","111508",NA,"MM","Royal Ontario Museum","1971",8,"28","Colombia","Cauca Department","","Morinda","1700m",2.506667,-76.6208,12.335,6.39,NA,17.035,35,108.67,NA,"Adult","Male",32.2076009938345,"Tyrannus_savana_monachus_SA"
"1201",1227,"Tyrannus_tyrannus","","migratory","taxonomy","112046",49.5,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","Cameron Parish","Hackberry Ridge, 2 mi. WSW Johnson's Bayou School","",29.99605,-93.3421,14.455,8.6,6.785,19.555,35.215,113.335,81.73,"Adult","Male",31.0716018882075,"Tyrannus_tyrannus"
"1204",1230,"Tyrannus_melancholicus","satrapa","partial","taxonomy","112138",42.09,"MM","Royal Ontario Museum","1971",11,"23","Mexico","Quinta Roo","","14km ESE, 11km NE Cozumel, Isla Cozumel","",20.55394,-86.89,NA,NA,NA,18.87,32.75,115.54,99.42,"Adult","Male",28.3451618487104,"Tyrannus_melancholicus_satrapa"
"1205",1232,"Tyrannus_forficatus","","migratory","taxonomy","113306",41,"MM","Louisiana State University Museum of tural Sciences","1984",4,"18","United States of America","Texas","Atascosa County","~10 mi. SSE Charlotte","",28.72756,-98.6435,13.81,8.035,6.24,19.185,NA,NA,206,"Adult","Male",NA,"Tyrannus_forficatus"
"1207",1234,"Tyrannus_melancholicus","satrapa","partial","taxonomy","113366",47,"MM","Royal Ontario Museum","1972",5,"16","Costa Rica","Heredia","","3kmNW San Miguel","300m",6.916667,-73.75,NA,NA,NA,19.59,27.49,110.71,NA,"Adult","Male",24.8306386053654,"Tyrannus_melancholicus_satrapa"
"1213",1240,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","115880",41.5,"MM","Louisiana State University Museum of tural Sciences","1983",8,"1","Peru","Loreto","","S Rio Amazos, approximately 10 km SSW mouth of Rio po on E Bank Quebrada Vainilla","100m",-3.538962,-72.738726,16.425,9.195,6.735,16.88,29.215,113.1,92.42,"Adult","Male",25.8311229000884,"Tyrannus_melancholicus_melancholicus"
"1215",1242,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","116245",40,"MM","Louisiana State University Museum of tural Sciences","1983",6,"24","Peru","Loreto","","Isla Ronsoco, Rio po opposite Libertad, 80 km N Iquitos","120m",-3,-73.33,17.375,9.465,6.99,18.195,29.745,111.435,92.52,"Adult","Male",26.6926908062996,"Tyrannus_melancholicus_melancholicus"
"1218",1245,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","117171",46,"MM","Louisiana State University Museum of tural Sciences","1983",10,"27","Peru","San Martin","","approximately 15 km by trail NE Jirillo on trail to Balsapuerto","1350m",-6.05,-76.73,16.885,9.26,7.69,18.8,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1222",1250,"Tyrannus_forficatus","","migratory","taxonomy","118802",NA,"MM","The Field Museum","1915",9,"17","United States of America","Texas","Refugio County","Tivoli","",28.455,-96.888,14.21,7.96,6.8,19.005,49.355,123.975,184.777,"Adult","Male",39.8104456543658,"Tyrannus_forficatus"
"1223",1251,"Tyrannus_melancholicus","satrapa","partial","taxonomy","119154",NA,"MM","The Field Museum","1940",8,"11","Mexico","Michoacan","","Apatzingan","",19.21948,-101.711,17.56,9.67,7.18,19.335,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1225",1253,"Tyrannus_couchii","","partial","taxonomy","119156",NA,"MM","The Field Museum","1940",6,"30","Mexico","San Luis Potosi","","El Banito","",22.14993,-100.983,17.185,10.59,7.84,19.39,NA,NA,NA,"Adult","Male",NA,"Tyrannus_couchii"
"1227",1255,"Tyrannus_melancholicus","satrapa","partial","taxonomy","119682",NA,"MM","The Field Museum","1941",2,"4","Mexico","Oaxaca","","Tutla","",17.70493,-97.6402,19.28,10.625,7.44,19.39,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1228",1256,"Tyrannus_melancholicus","satrapa","partial","taxonomy","119683",NA,"MM","The Field Museum","1941",2,"14","Mexico","Oaxaca","","Tutla","",17.70493,-97.6402,18.565,9.98,7.45,19.88,30.95,116.235,94.34,"Adult","Male",26.6270916677421,"Tyrannus_melancholicus_satrapa"
"1230",1258,"Tyrannus_couchii","","partial","taxonomy","119685",NA,"MM","The Field Museum","1941",2,"17","Mexico","Oaxaca","","Tutla","",19.77249,-104.365,17.1,10.1,7.63,19.845,NA,NA,NA,"Adult","Male",NA,"Tyrannus_couchii"
"1231",1259,"Tyrannus_melancholicus","satrapa","partial","taxonomy","119686",NA,"MM","The Field Museum","1941",2,"22","Mexico","Oaxaca","","Tutla","",17.70493,-97.6402,18.185,9.815,7.555,19.765,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1232",1260,"Tyrannus_melancholicus","satrapa","partial","taxonomy","119687",NA,"MM","The Field Museum","1941",2,"24","Mexico","Oaxaca","","Tutla","",17.70493,-97.6402,18.61,9.72,7.12,19.33,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"1235",1263,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","120099",43,"MM","Louisiana State University Museum of tural Sciences","1984",7,"17","Peru","Loreto","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,17.92,10.14,7.445,17.75,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1236",1264,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","120100",36,"MM","Louisiana State University Museum of tural Sciences","1984",7,"20","Peru","Loreto","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,17.565,9.865,7.105,17.595,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1239",1267,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","120103",38,"MM","Louisiana State University Museum of tural Sciences","1984",7,"26","Peru","Loreto","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,17.05,9.715,7.32,18.08,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1240",1268,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","120104",42,"MM","Louisiana State University Museum of tural Sciences","1984",7,"28","Peru","Loreto","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,16.975,9.685,7.145,18.075,NA,NA,96.93,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1241",1269,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","120105",37,"MM","Louisiana State University Museum of tural Sciences","1984",7,"29","Peru","Loreto","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,17.805,10.12,7.35,18.25,36.845,119.81,99.27,"Adult","Male",30.7528586929305,"Tyrannus_melancholicus_melancholicus"
"1242",1270,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","120106",42,"MM","Louisiana State University Museum of tural Sciences","1984",8,"1","Peru","Loreto","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,19.025,10.255,7.29,18.31,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_melancholicus"
"1245",1273,"Tyrannus_albogularis","","migratory","taxonomy","120109",38.5,"MM","Louisiana State University Museum of tural Sciences","1984",7,"16","Peru","Loreto Dept.","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,14.3,8.2,5.8,17.55,31.525,114.925,95.2,"Adult","Male",27.4309332173156,"Tyrannus_albogularis"
"1248",1276,"Tyrannus_albogularis","","migratory","taxonomy","120112",45,"MM","Louisiana State University Museum of tural Sciences","1984",7,"24","Peru","Loreto","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,14.62,8.37,5.655,18.16,29,109.14,92.74,"Adult","Male",26.571376214037,"Tyrannus_albogularis"
"1250",1278,"Tyrannus_albogularis","","migratory","taxonomy","120114",41,"MM","Louisiana State University Museum of tural Sciences","1984",7,"26","Peru","Loreto Dept.","","Isla Pasto, Rio Amazos opposite Aysa, approximately 80 km NE Iquitos","80m",-3.42,-72.5,15.1,8.375,5.775,16.875,28.925,105.5,87.75,"Adult","Male",27.4170616113744,"Tyrannus_albogularis"
"1256",1284,"Tyrannus_albogularis","","migratory","taxonomy","121143",NA,"MM","Smithsonian tiol Museum of tural History","1883",6,"","Brazil","Para","","Santarem","",-0.95,-46.9833,15.24,8.36,NA,17.765,31.66,105.49,90.68,"Adult","Male",30.0123234429804,"Tyrannus_albogularis"
"1258",1286,"Tyrannus_couchii","","partial","taxonomy","121169",NA,"MM","The Field Museum","1939",10,"21","Mexico","Yucatan","","Chichen Itza","",20.67832,-88.5684,13.605,9.45,6.7,19.27,28.89,108.63,91.63,"Adult","Male",26.5948632974316,"Tyrannus_couchii"
"1259",1287,"Tyrannus_couchii","","partial","taxonomy","121170",NA,"MM","The Field Museum","1939",10,"30","Mexico","Yucatan","","Chichen Itza","",18.58414,-90.6467,15.955,10.335,7.69,18.56,35.015,116.655,96.08,"Adult","Male",30.01585872873,"Tyrannus_couchii"
"1261",1289,"Tyrannus_caudifasciatus","caymanensis","sedentary","taxonomy","121419",42.8,"MM","Royal Ontario Museum","1974",4,"24","","","","","",19.32222,-81.209,NA,NA,NA,22.8,23.46,106.25,NA,"Adult","Male",22.08,"Tyrannus_caudifasciatus_caymanensis"
"1263",1291,"Tyrannus_caudifasciatus","caymanensis","sedentary","taxonomy","121438",44,"MM","Royal Ontario Museum","1974",4,"25","","","","","",19.31528,-81.1833,NA,NA,NA,21.93,18.17,100.05,86.62,"Adult","Male",18.1609195402299,"Tyrannus_caudifasciatus_caymanensis"
"1266",1294,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","121512",50.2,"MM","Royal Ontario Museum","",NA,"","Cayman Islands","Grand Cayman Island","","North Side, 4 mi W of Gun Bay Village","",19.31669,-81.1482,NA,NA,NA,NA,37.38,113.82,85.43,"Adult","Male",32.8413284132841,"Tyrannus_dominicensis_dominicensis"
"1268",1296,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","121548",51.5,"MM","Royal Ontario Museum","1974",5,"8","British West Indies","Montserrat","Fox's Bay","","",16.72312,-62.2394,NA,NA,NA,18.56,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_vorax"
"1269",1297,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","121549",NA,"MM","Royal Ontario Museum","1974",5,"8","British West Indies","Montserrat","Fox's Bay","","",16.72312,-62.2394,NA,NA,NA,19.86,28.85,114.66,NA,"Adult","Male",25.161346589918,"Tyrannus_dominicensis_vorax"
"1274",1302,"Tyrannus_forficatus","","migratory","taxonomy","121649",50.2,"MM","Louisiana State University Museum of tural Sciences","1984",10,"21","United States of America","Louisiana","Cameron Parish","Hackberry Ridge, 2 mi. WSW Johnsons Bayou School","",29.99605,-93.3421,14.1,7.44,6.265,19.115,45.81,122.185,218,"Adult","Male",37.4923272087408,"Tyrannus_forficatus"
"1277",1305,"Tyrannus_albogularis","","migratory","taxonomy","123499",NA,"MM","The Field Museum","1941",2,"21","Brazil","Sao Paulo","","Fazenda Varjao, Municipio de Lins","",-21.4833,-46.3833,15.99,8.645,6.845,18.465,NA,NA,NA,"Adult","Male",NA,"Tyrannus_albogularis"
"1279",1308,"Tyrannus_vociferans","vociferans","partial","taxonomy","123910",47.2,"MM","Royal Ontario Museum","1975",10,"3","United States of America","Texas","Brewster County","14 mi S, 2 mi W Fort Davis","5100ft",30.39411,-103.934,NA,NA,NA,20.74,43.33,134.81,94.7,"Adult","Male",32.1415325272606,"Tyrannus_vociferans_vociferans"
"1281",1310,"Tyrannus_tyrannus","","migratory","taxonomy","124347",38.5,"MM","Louisiana State University Museum of tural Sciences","",NA,"","Bolivia","Beni","Gralbalivian","10 km by road SW San Borja","450m",-14.9018806,-66.7675306,13.775,8.295,6.4,19.375,NA,NA,NA,"Adult","Male",NA,"Tyrannus_tyrannus"
"1282",1311,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","124348",38,"MM","Louisiana State University Museum of tural Sciences","1984",10,"8","Bolivia","Beni","Gralbalivian","3 km SW San Borja","450m",-14.82,-66.85,19.03,9.635,7.05,17.265,33.665,109.785,96.35,"Adult","Male",30.6644805756706,"Tyrannus_melancholicus_melancholicus"
"1283",1312,"Tyrannus_melancholicus","melancholicus","partial","location, date of collection","124349",40.5,"MM","Louisiana State University Museum of tural Sciences","1984",10,"8","Bolivia","Beni","Gralbalivian","3 km SW San Borja","450m",-14.82,-66.85,18.22,9.895,7.3,18.775,31.865,110.97,89.71,"Adult","Male",28.7149680093719,"Tyrannus_melancholicus_melancholicus"
"1292",1322,"Tyrannus_savana","monachus CA","sedentary","taxonomy","124573",NA,"MM","The Field Museum","",NA,"","Panama","Chiriqui","","","",8.478268,-82.8451,11.465,6.315,6.315,15.91,35.75,106.1,252.8,"Adult","Male",33.6946277097078,"Tyrannus_savana_monachus_CA"
"1293",1323,"Tyrannus_savana","monachus CA","sedentary","taxonomy","124574",NA,"MM","The Field Museum","",NA,"","Panama","Chiriqui","","","",8.478268,-82.8451,11.575,NA,NA,16.115,35.725,105.73,244.724,"Adult","Male",33.7888962451527,"Tyrannus_savana_monachus_CA"
"1294",1324,"Tyrannus_savana","monachus CA","sedentary","taxonomy","124575",NA,"MM","The Field Museum","",NA,"","Panama","Chiriqui","","","",8.478268,-82.8451,11.52,6.11,5.61,16.54,30.6,103.22,299.48,"Adult","Male",29.6454175547375,"Tyrannus_savana_monachus_CA"
"1297",1327,"Tyrannus_savana","monachus CA","sedentary","taxonomy","124578",NA,"MM","The Field Museum","1899",2,"22","Panama","","","Panama City","",9.099241,-79.4087,11.89,6.315,5.105,15.93,31.945,99.39,NA,"Adult","Male",32.14106046886,"Tyrannus_savana_monachus_CA"
"1298",1328,"Tyrannus_savana","monachus CA","sedentary","taxonomy","124579",NA,"MM","The Field Museum","1899",2,"22","Panama","","","Panama City","",9.099241,-79.4087,11.395,6.62,5.44,17.33,NA,NA,235.419,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
"1299",1329,"Tyrannus_savana","monachus CA","sedentary","taxonomy","124580",NA,"MM","The Field Museum","1899",2,"22","Panama","","","Panama City","",9.099241,-79.4087,11.62,6.115,5.085,16.57,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
"1300",1330,"Tyrannus_savana","savana","migratory","taxonomy","124581",NA,"MM","The Field Museum","1910",1,"6","Argentina","Buenos Aires","","Los Ingleses, Ajo","",-36.4063,-56.9433,11.71,6.57,5.535,17.6,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"1302",1332,"Tyrannus_vociferans","vociferans","partial","taxonomy","124583",NA,"MM","The Field Museum","1909",7,"15","Mexico","Chihuahua","","Pacheco","",30.08612,-108.347,14.655,8.56,7.08,19.11,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1303",1333,"Tyrannus_vociferans","vociferans","partial","taxonomy","124584",NA,"MM","The Field Museum","1909",7,"15","Mexico","Chihuahua","","Pacheco","",30.08612,-108.347,14.36,8.605,6.86,21.38,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1306",1336,"Tyrannus_melancholicus","satrapa","partial","taxonomy","124587",NA,"MM","The Field Museum","1921",11,"9","Costa Rica","Limon","","Guapiles","274m",10.21318,-83.7872,17.44,9.795,7.135,18.085,30.385,118.15,98.23,"Adult","Male",25.7173085061363,"Tyrannus_melancholicus_satrapa"
"1307",1337,"Tyrannus_melancholicus","satrapa","partial","taxonomy","124588",NA,"MM","The Field Museum","1909",2,"23","Mexico","Tamaulipas","","Tampico, Cervantes","",22.27817,-97.8677,19.025,9.6,7.21,20.265,30.31,121.19,97.84,"Adult","Male",25.0103143823748,"Tyrannus_melancholicus_satrapa"
"1309",1339,"Tyrannus_melancholicus","satrapa","partial","taxonomy","124590",NA,"MM","The Field Museum","1909",2,"28","Mexico","Tamaulipas","","Tampico","",22.27817,-97.8677,18.675,10.63,8.27,20.135,31.685,119.935,98.73,"Adult","Male",26.4184766748655,"Tyrannus_melancholicus_satrapa"
"1311",1341,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","124592",NA,"MM","The Field Museum","1904",10,"10","Dominica","","","Roseau","",15.4445,-61.3461,24.4,13.29,9.635,19.025,30.88,109.89,84.58,"Adult","Male",28.1008281008281,"Tyrannus_dominicensis_vorax"
"1313",1343,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","124594",NA,"MM","The Field Museum","1904",10,"17","Dominica","","","Roseau","",15.4445,-61.3461,24.21,13.365,10.065,19.365,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_vorax"
"1317",1347,"Tyrannus_dominicensis","vorax","sedentary","taxonomy","124598",NA,"MM","The Field Museum","1904",12,"23","Dominica","","","Roseau","",15.30935,-61.3805,22.865,13.3,9.8,19.41,34.97,117.49,91.63,"Adult","Male",29.7642352540642,"Tyrannus_dominicensis_vorax"
"1319",1349,"Tyrannus_vociferans","vociferans","partial","taxonomy","126004",46,"MM","Royal Ontario Museum","1976",5,"27","United States of America","Texas","Jeff Davis County","10 mi NW Alpine","",30.46114,-103.779,NA,NA,NA,19.19,37.29,129.25,88.42,"Adult","Male",28.8510638297872,"Tyrannus_vociferans_vociferans"
"1320",1350,"Tyrannus_vociferans","vociferans","partial","taxonomy","126005",42.5,"MM","Royal Ontario Museum","1976",5,"26","United States of America","Texas","Jeff Davis County","10 mi NW Alpine","",30.46114,-103.779,NA,NA,NA,19.45,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"1321",1351,"Tyrannus_vociferans","vociferans","partial","taxonomy","126006",45,"MM","Royal Ontario Museum","1976",5,"27","United States of America","Texas","Jeff Davis County","10 mi NW Alpine","",30.46114,-103.779,NA,NA,NA,18.99,40.12,127.41,89.3,"Adult","Male",31.4888941213406,"Tyrannus_vociferans_vociferans"
"1323",1353,"Tyrannus_vociferans","vociferans","partial","taxonomy","126008",45.5,"MM","Royal Ontario Museum","1976",5,"26","United States of America","Texas","Jeff Davis County","10 mi NW Alpine","",30.46114,-103.779,NA,NA,NA,21.31,40.27,133.56,NA,"Adult","Male",30.1512428870919,"Tyrannus_vociferans_vociferans"
"1326",1356,"Tyrannus_forficatus","","migratory","taxonomy","126017",41,"MM","Royal Ontario Museum","1976",6,"4","United States of America","Texas","Wise County","Panhandle Hatiol Grassland, 6 mi N Decatur","",33.33627,-97.5847,NA,NA,NA,19.42,46.2,121.19,229.303,"Adult","Male",38.1219572571994,"Tyrannus_forficatus"
"1327",1357,"Tyrannus_forficatus","","migratory","taxonomy","126018",42,"MM","Royal Ontario Museum","1976",6,"4","United States of America","Texas","Wise County","Panhandle Hatiol Grassland, 6 mi N Decatur","",33.33627,-97.5847,NA,NA,NA,18.93,44.3,124.34,135.7,"Adult","Male",35.6281164548818,"Tyrannus_forficatus"
"1328",1358,"Tyrannus_forficatus","","migratory","taxonomy","126019",41,"MM","Royal Ontario Museum","1976",6,"4","United States of America","Texas","Wise County","Panhandle Hatiol Grassland, 6 mi N Decatur","",33.33627,-97.5847,NA,NA,NA,19.02,47.77,123.87,241.294,"Adult","Male",38.5646242027933,"Tyrannus_forficatus"
"1338",1368,"Tyrannus_vociferans","vociferans","partial","taxonomy","127161",NA,"MM","The Field Museum","1931",2,"20","Mexico","Sonora","","Camoa","",27.22463,-109.26,16.415,8.71,7.18,19.855,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
