"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"170",174,"Tyrannus_crassirostris","crassirostris","migratory","taxonomy","14301",NA,"MM","Louisiana State University Museum of tural Sciences","1947",1,"20","Mexico","Guerrero","","Chilpancingo","",17.5506,-99.5058,19.06,12.6,9.375,20.895,34.6,131.03,NA,"Adult","Male",26.4061665267496,"Tyrannus_crassirostris_crassirostris"
"171",175,"Tyrannus_melancholicus","satrapa","partial","taxonomy","14568",39.3,"MM","Louisiana State University Museum of tural Sciences","1949",5,"1","Mexico","Morelos","","Acatlipa, Km 86 ","4000'",18.82138,-99.2348,18.09,9.23,7.11,19.215,29.15,111.41,90.88,"Adult","Male",26.1646171797864,"Tyrannus_melancholicus_satrapa"
"172",176,"Tyrannus_melancholicus","satrapa","partial","taxonomy","14665",NA,"MM","Louisiana State University Museum of tural Sciences","1948",4,"25","Mexico","Yucatan","","1.5 mi. S Progreso","",21.26169,-89.6642,18.5,9.935,7.525,20.945,NA,NA,NA,"Adult","Male",NA,"Tyrannus_melancholicus_satrapa"
"173",177,"Tyrannus_melancholicus","satrapa","partial","taxonomy","14666",NA,"MM","Louisiana State University Museum of tural Sciences","1948",4,"30","Mexico","Yucatan","","1.5 mi. S Progreso","",21.26169,-89.6642,18.27,9.64,7.32,18.08,26.625,110.11,NA,"Adult","Male",24.180365089456,"Tyrannus_melancholicus_satrapa"
"174",178,"Tyrannus_vociferans","vociferans","partial","taxonomy","14718",NA,"MM","The Field Museum","1903",5,"23","United States of America","Arizona","Cochise","Huachuca Mountains","",31.488997,-110.408142,15.13,8.7,7.23,19.5,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"177",181,"Tyrannus_vociferans","vociferans","partial","taxonomy","14721",NA,"MM","The Field Museum","1903",5,"30","United States of America","Arizona","Cochise","Huachuca Mountains","",31.488997,-110.408142,15.065,NA,NA,19.7,38.71,128.15,NA,"Adult","Male",30.2067889192353,"Tyrannus_vociferans_vociferans"
"179",183,"Tyrannus_vociferans","vociferans","partial","taxonomy","14723",NA,"MM","The Field Museum","1903",7,"4","United States of America","Arizona","Cochise","Huachuca Mountains","",31.488997,-110.408142,15.125,8.37,6.97,19.375,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"180",184,"Tyrannus_forficatus","","migratory","taxonomy","14825",NA,"MM","Louisiana State University Museum of tural Sciences","1950",10,"1","United States of America","Texas","Coryell County","10 mi. north of Killeen","",31.26227,-97.7278,14.02,8,6.465,17.92,47.375,121.31,200,"Adult","Male",39.0528398318358,"Tyrannus_forficatus"
"181",185,"Tyrannus_savana","savana","migratory","taxonomy","14846",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1964",7,"4","Colombia","Cauca","","Santander","",3.009452,-76.4849,12.3,7.1,NA,NA,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"182",186,"Tyrannus_vociferans","vociferans","partial","taxonomy","15285",46.2,"MM","Louisiana State University Museum of tural Sciences","1950",6,"4","Mexico","San Luis Potosi","","2 mi. East of Catorce at Santa A","8900 feet",23.70187,-100.911,14.56,8.86,6.445,19.855,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"183",187,"Tyrannus_vociferans","vociferans","partial","taxonomy","15286",47.5,"MM","Louisiana State University Museum of tural Sciences","",NA,"","Mexico","San Luis Potosi","","2 mi. East of Catorce at Santa A","8900 feet",23.70187,-100.911,14.98,8.565,6.565,20.68,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"184",188,"Tyrannus_vociferans","vociferans","partial","taxonomy","15287",51.5,"MM","Louisiana State University Museum of tural Sciences","1950",5,"20","Mexico","San Luis Potosi","","7 mi. by road SE, Mountains SE of Caâ€“ada Grande","7500 feet",21.96921,-100.349,15.42,8.9,6.675,20.47,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"188",193,"Tyrannus_savana","savana","migratory","taxonomy","15588",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1965",10,"9","Colombia","Cundinamarca","","Ciudad Universitaria, Bogota","",4.635069,-74.0826,11.7,6.4,5.5,NA,NA,114,229,"Adult","Male",NA,"Tyrannus_savana_savana"
"189",194,"Tyrannus_melancholicus","satrapa","partial","taxonomy","15676",NA,"MM","The Field Museum","1904",3,"24","Nicaragua","Chinandega","","San Jeronimo","",12.645127,-87.208947,18.04,9.98,7.33,18.205,33.57,113.95,90.01,"Adult","Male",29.4602896007021,"Tyrannus_melancholicus_satrapa"
"193",198,"Tyrannus_tyrannus","","migratory","taxonomy","16180",NA,"MM","Royal Ontario Museum","",NA,"","Canada","Ontario","Grey County","Brewster's Lake, near Shelburne","",44.34147,-80.2,13.69,7.89,6.75,18.785,41.955,119.04,81.96,"Adult","Male",35.2444556451613,"Tyrannus_tyrannus"
"194",199,"Tyrannus_vociferans","vociferans","partial","taxonomy","16471",NA,"MM","Louisiana State University Museum of tural Sciences","1950",11,"1","Mexico","San Luis Potosi","","Bledos","",22.52113,-100.458,14.165,8.11,6.925,18.87,41.41,136.285,96.3,"Adult","Male",30.384855266537,"Tyrannus_vociferans_vociferans"
"196",201,"Tyrannus_dominicensis","dominicensis","migratory","taxonomy","16618",NA,"MM","The Field Museum","1886",5,"28","United States of America","Florida","Lee","Punta Rassa","",26.504374,-81.995087,21.38,11.235,9.875,19.66,NA,NA,NA,"Adult","Male",NA,"Tyrannus_dominicensis_dominicensis"
"200",205,"Tyrannus_vociferans","vociferans","partial","taxonomy","16622",NA,"MM","The Field Museum","1901",6,"5","United States of America","Arizona","Cochise","Huachuca Mountains","",31.488997,-110.408142,15.095,8.865,7.35,19.785,NA,NA,90.69,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"206",211,"Tyrannus_vociferans","vociferans","partial","taxonomy","16969",NA,"MM","Louisiana State University Museum of tural Sciences","1951",3,"16","Mexico","San Luis Potosi","","12 miles SE Santiago, Sierra del Zapote","780",21.81974,-101.201,15.055,8.945,7.165,19.55,37.34,127.94,87.23,"Adult","Male",29.1855557292481,"Tyrannus_vociferans_vociferans"
"207",212,"Tyrannus_vociferans","vociferans","partial","taxonomy","16970",NA,"MM","Louisiana State University Museum of tural Sciences","1951",3,"9","Mexico","San Luis Potosi","","Villar","",22.54464,-100.467,14.015,8.33,6.97,19.41,41.11,131.515,NA,"Adult","Male",31.2587917728016,"Tyrannus_vociferans_vociferans"
"208",213,"Tyrannus_vociferans","vociferans","partial","taxonomy","16971",36,"MM","Louisiana State University Museum of tural Sciences","1951",3,"1","Mexico","San Luis Potosi","","Villar","",22.54464,-100.467,14.31,8.89,NA,18.785,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"209",214,"Tyrannus_vociferans","vociferans","partial","taxonomy","16972",44,"MM","Louisiana State University Museum of tural Sciences","1951",3,"4","Mexico","San Luis Potosi","","Villar","",22.54464,-100.467,14.33,7.99,7.065,18.82,39.785,130.835,90.8,"Adult","Male",30.4085298276455,"Tyrannus_vociferans_vociferans"
"210",215,"Tyrannus_couchii","","partial","taxonomy","16973",NA,"MM","Louisiana State University Museum of tural Sciences","1951",5,"19","Mexico","San Luis Potosi","","5 km N Ebano","",21.54641,-99.6162,16.85,10.17,7.47,19.33,NA,NA,NA,"Adult","Male",NA,"Tyrannus_couchii"
"216",221,"Tyrannus_savana","savana","migratory","taxonomy","18055",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1967",4,"2","Colombia","Vichada","","Santa Teresita","",4.518761,-69.7546,10.5,6,NA,NA,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"217",222,"Tyrannus_vociferans","vociferans","partial","taxonomy","18432",NA,"MM","Louisiana State University Museum of tural Sciences","1952",5,"4","United States of America","New Mexico","Berlio County","7 miles SE of Tijeras","",35.05612,-106.325,14.645,8.72,7.655,21.39,43.32,135.62,91.82,"Adult","Male",31.9421914171951,"Tyrannus_vociferans_vociferans"
"218",223,"Tyrannus_vociferans","vociferans","partial","taxonomy","18623",NA,"MM","Louisiana State University Museum of tural Sciences","1952",6,"23","Mexico","San Luis Potosi","","8 km W Bledos","",21.84109,-101.118,13.605,8.145,NA,19.555,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"219",224,"Tyrannus_vociferans","vociferans","partial","taxonomy","18624",NA,"MM","Louisiana State University Museum of tural Sciences","1952",7,"5","Mexico","San Luis Potosi","","Lagu de la Rusias, Quche Mosca","",21.48403,-98.9676,13.55,8.22,6.935,19.45,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"221",228,"Tyrannus_vociferans","vociferans","partial","taxonomy","18961",NA,"MM","Louisiana State University Museum of tural Sciences","1952",9,"28","United States of America","New Mexico","Sacorro County","2 mi. South of Granguvira","",34.23672,-106.103,15.72,8.26,6.745,19.805,NA,NA,82.98,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
