"","X","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Kipp.s.Index","Strategy","CVBillPC1","CVBillPC2","CVBodyPC1","CVBodyPC2"
"Tyrannus_niveigularis",19,0.0783897558056457,0.0317292768172505,0.0652341845080457,0.0587137510289339,0.0445281934515913,0.0790734807910997,0.0335640305852212,0.0246773304104149,0.0545597538244733,"partial",-12.7114285742025,12.3308101115995,85.9329568846985,76.8303514357236
"Tyrannus_savana_circumdatus",20,NA,0.0508185223444717,0.0438200005092006,0.0506695834649726,0.0203974936243231,0.103481273664035,0.0405369661135314,0.122966028790293,0.068062954393634,"sedentary",-9.79361378077691,10.2903592029386,230.337269672303,72.7696377138114
"Tyrannus_savana_monachus_CA",21,0.098222749508894,0.0416186126059399,0.0512070202815668,0.062700197564737,0.0407422093843329,0.083617971991023,0.0453018842894504,0.206954869769981,0.0510229783723582,"sedentary",-9.76735035993835,9.39940255601361,246.610153703865,71.1434119277168
"Tyrannus_savana_monachus_SA",22,0.0678594069168024,0.055042101303526,0.0688583662650394,0.060551432649135,0.0324376463737426,0.0744199756217692,0.135972964565874,0.179292684866203,0.158962456375633,"sedentary",-9.78145442566331,9.79757735484395,245.569441585264,70.5677973788284
"Tyrannus_savana_sanctaemartae",23,NA,0.0237213894284783,0.0304448111269255,0.0439503735786803,0.0230832967745391,0.096657845822695,0.0457217893928974,0.20377190471502,0.0557554552112604,"sedentary",-9.62569371010064,10.2530275809118,260.233888032557,71.568628391026
"Tyrannus_savana_savana",24,0.115868216173014,0.0446028469087988,0.074634736699154,0.0661153958338947,0.0573716804717462,0.103182844136511,0.0468544981096612,0.180957421149423,0.0650468119636603,"migratory",-9.93652859670607,9.42613750034515,227.007451946524,74.4304651277265
"Tyrannus_tyrannus",25,0.127206403612724,0.0480576484579428,0.114808759067776,0.0578386512782887,0.0379381227605554,0.0686242570444709,0.0377962778630628,0.0496142852604459,0.0496606560883741,"migratory",-12.205840781414,11.5524245456247,89.935395097997,82.7489549420657
"Tyrannus_verticalis",26,0.0637173942943913,0.0554368889791201,0.0463866534187762,0.0394756942468145,0.0386730614532875,0.0884683927835042,0.0416173921180871,0.0482166463790115,0.0631514822595896,"migratory",-11.8421590814753,11.1465289965222,98.9314495336805,88.4606222813399
"Tyrannus_vociferans_vociferans",27,0.0773838588527316,0.0565317402765133,0.0468478398390088,0.0529519150219156,0.0352763298146566,0.0788400839892638,0.0860851724819179,0.0376776984480939,0.322837010185279,"partial",-13.116715043048,12.6884958468033,100.389845056109,93.3582644197899
"Tyrannus_vociferans_xenopterus",28,NA,0.0497565457484744,0.0497949568105968,0.0537638343653831,0.030615518562754,0.150197154571834,0.057608963095922,0.0360872522747281,0.0954467364329763,"sedentary",-12.6260817535216,12.3547062884469,101.50009680755,91.8557195732726
